Time,Mx_f,My_f,Mz_f,B_z,B_x,B_y
0.012,-0.022458365198407014,-0.6034341127497329,0.793757167668229,6,-54.7935640648645,0
0.004,0.00965532730859286,0.9890464559780161,0.12291529398456605,4,362.6420587567399,0
0.005,0.020600923710207546,0.7102636777008986,0.7013806360032803,11,159.07700357008076,0
0.006,-0.00820049258496785,-0.8359158717486648,0.5436493506045381,3,-166.47342044184398,0
0.007,-0.040857044653165045,-0.975931059704995,0.187286701195113,10,-198.23550036959193,0
0.012,-0.02290781188155122,0.2237201045341593,0.9740288103774954,-17,19.167370871101383,0
0.013,0.09311321540921647,-0.8623601398779617,0.4838532659832425,-15,-82.63425536985103,0
0.015,-0.011247855941984799,0.7123062121321924,0.6948947625393769,-2,53.87162138049574,0
0.009,0.02340501089825649,0.5616860060055888,0.8249552805704998,9,67.03006983946366,0
0.01,0.01900715974521056,-0.25238610238407827,0.9670617404763229,-15,-25.87493652852345,0
0.003,-0.012189495513722531,-0.9048172824048891,0.4215132571607481,8,-379.1173110663741,0
0.003,-0.03073259820132827,-0.9888006909047137,0.12809334759407648,17,-481.59022332633504,0
0.01,0.07208394106951731,-0.7164594723238303,0.6891533878799754,-19,-81.55003027983456,0
0.002,-0.014479608493968166,0.7917551281577149,0.6093299385894936,-17,458.2396546528265,0
0.014,-0.09380255758374839,-0.7779310060845391,0.612188143836688,16,-65.71370156938087,0
0.008,-0.01598125352516007,0.7512967153584493,0.6553760569539682,-5,107.41689071886876,0
0.009,-0.10487450168653101,0.9842499711114824,0.06910782621078367,-19,167.89674393440566,0
0.003,-0.004992748977589788,0.6392576862676873,0.7680022911099196,-5,232.01020897344006,0
0.001,0.0016621357737265521,-0.9548248702435599,0.2948336808035129,-3,-1272.142863549596,0
0.013,-0.023469396970252483,-0.9829485061537003,0.10837773622542515,3,-113.24320697854264,0
0.014,-0.09292054992579331,0.8578359584163087,0.49100144102421817,-14,76.17885964894177,0
0.005,0.017228166293465186,-0.9707141467410952,0.22352954053423899,-6,-269.76005110590035,0
0.006,-0.02188093013629277,0.919684171434828,0.382550676002656,-7,196.96140248942146,0
0.004,0.005053212201161985,-0.7847343277401163,0.6172280079736673,-3,-226.81686155344937,0
0.008,0.011944802489457113,-0.7086635248976446,0.7018599978288711,-4,-99.46610925664326,0
0.013,-0.13359147715190922,-0.9756261248134617,0.0918643078938116,17,-114.82115439389268,0
0.011,-0.010744854089137687,-0.6276797994800534,0.7749871382832818,3,-62.50354736784956,0
0.007,-0.009864998914904858,-0.28046944741772334,0.959483927655924,10,-40.938640088871324,0
0.014,0.12437166263763391,0.9711429426225915,0.1371939906498791,15,103.34371492796555,0
0.011,-0.006044442080271133,0.9483994079809097,0.29224299526753816,-1,116.46962739966585,0
0.015,-0.008794900925271987,-0.1677996871634447,0.9855376934272768,7,-11.431869900983457,0
0.002,-0.004446090376093643,0.8198527465891015,0.571002813491887,-5,481.98702797373323,0
0.012,-0.0258096640503392,-0.2850793288983758,0.9575677722257109,15,-24.524951531846455,0
0.012,0.08009515119553731,0.8623775967689417,0.4872879510957836,14,89.10685304050057,0
0.007,-0.027054511969301396,-0.6713516076411646,0.73800014873467,11,-106.17805110937523,0
0.009,-0.01306303395865081,-0.6914011393531032,0.7186259951635164,4,-85.79715517095929,0
0.015,0.041364709905255946,0.7424666578465685,0.6606095824068201,7,57.030671989912165,0
0.014,0.010752431681438383,0.5021032150988869,0.8623182996031793,3,38.166225924416096,0
0.015,0.08379878190672926,0.6653452307778825,0.7361355565731015,16,50.02841647544328,0
0.007,0.0009417122955948262,0.06739231082004851,0.997708128405327,4,9.703737055489455,0
0.005,0.008813342329926218,-0.8142522819711595,0.576659489068772,-4,-191.6826011077942,0
0.015,-0.12409908026461426,0.9077797745194686,0.37696159643154464,-16,79.74929683603118,0
0.011,0.0047645875227172296,-0.21645436457385187,0.9759804761021673,-4,-20.063519436281624,0
0.012,-0.004464001064824452,0.7071306822756408,0.7017110950921999,-1,66.4467894443332,0
0.008,0.051377069879624704,0.9751765457808867,0.18441047400454785,11,173.93723952991562,0
0.015,-0.011701910045148449,0.7369946780886679,0.6680540656523792,-2,56.335785906901364,0
0.015,-0.12120983294502108,-0.8942262469572659,0.4099827877718792,16,-77.32445817806486,0
0.005,-0.0003012877561176629,-0.024140846150201713,0.9997068794640769,5,-4.853330367452429,0
0.006,0.024699069911852757,-0.5704296555499946,0.8195445220723792,-14,-102.00188231119171,0
0.009,0.023828359465367314,0.34967983491535487,0.9358851347221958,15,40.19354412307129,0
0.015,-0.014786427241224198,0.48429913148115955,0.8723969060251625,-4,34.28054093564852,0
0.002,-0.0178237816697869,0.9238056488257718,0.379200790492474,-17,591.5379393203035,0
0.01,-0.026991767069472636,0.9390445298752972,0.3228557054283956,-5,124.83058419737498,0
0.003,0.011420374313900089,0.6620694594116463,0.7482747948226824,11,242.1203363299103,0
0.011,-0.02617494474897968,0.31491263441967865,0.9480938146912455,-15,29.59555997928527,0
0.011,-0.03350847300500853,0.9865200654035049,0.08380425946432678,-5,135.96843536647748,0
0.004,0.011860847487033518,0.36661373140705583,0.9299640315308157,16,94.30298916589288,0
0.002,0.014140742838167498,-0.739824195622395,0.6716190802183518,-18,-417.60974661475717,0
0.001,0.0,-0.472586724778963,0.8811357424783339,0,-492.75669689752203,0
0.011,0.05298703840023658,0.8705085367479386,0.477286651145868,10,98.13324073071112,0
0.009,0.0030756497392027266,0.6555216761801124,0.7520095232151927,1,80.29264776510331,0
0.004,-0.01081543587499647,0.3156372196968613,0.9485773423417487,-17,80.6789955854822,0
0.013,0.06783231389490393,-0.8599993370879223,0.4924003670895133,-11,-81.80656278370026,0
0.008,0.020557014538429,0.7958377006125537,0.5996486871833605,6,116.41076808121309,0
0.012,-0.03662277488783784,0.5909259416184304,0.8027289341539168,-10,53.566162711209586,0
0.002,-0.005598506732338678,-0.3264571701073005,0.9450661165443223,17,-166.65466082116245,0
0.011,0.0017603741832946749,0.3183725202222052,0.947287999282536,1,29.792596819071264,0
0.007,0.045895201037115516,0.8994575281354039,0.42521958321525727,13,162.2639500268029,0
0.011,0.004910048040673576,0.08945110573145731,0.9959289731672193,10,8.249516390211625,0
0.007,0.031312329621177776,0.6587681501146233,0.7491942169416699,13,103.7880411715849,0
0.001,0.0032591161359891738,0.9442680924983661,0.32714101416474245,6,1238.1283644659632,0
0.014,-0.008158027680002242,-0.9731086878455202,0.17685332583850144,1,-100.21005852371354,0
0.011,-0.03873490006867866,0.5282893938648175,0.8460102385674092,-13,51.41849514176732,0
0.012,0.047338924407490664,-0.7427271249637915,0.6615236098874062,-10,-71.0988061570752,0
0.001,0.0014540636892070437,-0.4093926939406879,0.9122506801613784,-7,-422.23879930862654,0
0.011,0.000584772922038821,0.017778752592053408,0.9998398089848625,6,1.6353623587440325,0
0.002,0.009344819712048464,0.8520785986515713,0.5214515249362713,10,511.6141123038377,0
0.01,-0.03568365042304177,0.624768312026781,0.776923000273916,-11,68.44730419823031,0
0.006,-0.017036079689013044,0.6090170922138238,0.7912700470989875,-9,109.96284889266934,0
0.005,-0.005834431899074591,-0.9773322346478373,0.19259645156201932,2,-276.0954959260676,0
0.01,0.01529054062033581,-0.7236713341261625,0.6851550142295285,-4,-81.97826959922105,0
0.009,-0.016564111020343445,0.514132324466081,0.855903398270189,-7,60.64218405330726,0
0.003,0.0009500353522930487,0.6108688778048376,0.7908747751321986,1,219.81676132480357,0
0.005,0.029149632505653035,0.777227758468502,0.6254229954096627,14,179.47890590407445,0
0.002,0.00789425498794813,0.4095026408713581,0.912061584805157,19,211.4562938138796,0
0.008,-0.07780347741454746,-0.9856366346543619,0.09488312538700638,16,-185.39858070042206,0
0.013,-0.009684262185462677,-0.16568084872481761,0.9859256458931268,9,-13.002143373185092,0
0.006,0.03105560667240161,0.856346187797374,0.5096131264423259,11,173.20192676412205,0
0.015,0.1338900126949692,0.8148943531224108,0.5515832511959129,20,66.50713472278768,0
0.011,0.04704267366384328,-0.5907706869561282,0.8025588121536545,-14,-58.45923706529713,0
0.003,0.014317427531647794,-0.9860749207006971,0.15043939996011785,-8,-474.00065416407966,0
0.002,0.017378021127380353,-0.9754402141085269,0.21258250011362503,-15,-679.0030825020801,0
0.008,-0.004735865206314283,-0.14806370973147207,0.9888659680701927,8,-18.739154604262637,0
0.013,0.020932160650808697,-0.2293248668774598,0.9727204411527334,-14,-18.136680284469875,0
0.005,0.010367783431090146,-0.5067819248397115,0.8611312480561355,-8,-106.90646805076219,0
0.003,0.0,-0.04350397112012266,0.9990500553124457,0,-14.549487997939082,0
0.001,-0.0011123264775752862,0.14808311348430178,0.9889617687602665,-15,148.7850470122928,0
0.011,-0.0025343649747340633,-0.11547215915921825,0.9932238725239847,4,-10.641013740828754,0
0.011,0.005274686442193255,0.16001685782522765,0.9869381712231918,6,14.78318740549912,0
0.008,-0.0015526307230504016,0.38406775277664285,0.9225635759738504,-1,49.69090927496441,0
